,Tesseract,Ground_Truth
0,1nd1v1duals,individuals
1,representlng,representing
2,you,your
3,companles,companies
4,1ndustry,industry
5,commlttee,committee
6,companles,companies
7,placlng,placing
8,1ncrease,increased
9,communlcatlons,communications
10,skllls,skills
11,senlor,senior
12,on,On
13,medla,media
14,reltlons,relations
15,1n,in
16,commlttee,committee
17,recelVd,received
18,falr,fair
19,relatlonshlps,relationships
20,Hlth,with
21,envlronmental,environmental
22,reorters,reporters
23,medla,media
24,1ndustrys,industrys
25,credlblllty,credibility
26,Hlth,with
27,addltlon,addition
28,sklns,skins
29,llttle,little
30,m,bit
31,trucker,thicker
32,1n,in
33,1ndustry,industry
34,worklng,working
35,m,with
36,medla,media
37,noinonsense,nononsense
38,sometlme,sometime
39,frustratlng,frustrating
40,A5,As
41,collectlve,collective
42,1th,with
43,medla,media
44,hlgher,higher
45,tha,that
46,smgle,single
47,eplsode,episode
48,crltlcal,critical
49,trunk,think
50,trnds,trends
51,Accordlng,According
52,prestlglous,prestigious
53,natlonal,national
54,publlcs,publics
55,Vlew,view
56,mproved,improved
57,ratlng,rating
58,1n,in
59,thls,this
60,durlng,during
61,falrness,fairness
62,requlre,requires
63,polnt,point
64,1nustr1es,industries
65,mm,with
66,ratlng,rating
67,luvprovement,improvement
68,woul,would
69,comparlson,comparison
70,Th1,This
71,unprovement,improvement
72,sllght,slight
73,mved,moved
74,cm,CMA
75,1ndustry,industry
76,1ndustr1es,industries
77,Vry,very
78,electrlc,electric
79,1ndustry,industry
80,standlng,standing
81,doent,doesnt
82,begln,begin
83,mm,with
84,ratlngs,ratings
85,topirated,toprated
86,computr,computer
87,1ndustry,industry
88,retalllng,retailing
89,1ndustr1es,industries
90,,a
91,ranklng,ranking
92,hlghest,highest
93,1ts,its
94,Since,since
95,quallfy,qualify
96,Th1,This
97,showd,showed
98,ltems,items
99,speclal,special
100,1nterest,interest
101,1n,in
102,speclal,special
103,quetlonnalre,questionnaire
104,plastlcs,plastics
105,recelved,received
106,ratlng,rating
107,ma,that
108,lSilndustry,15industry
109,companles,companies
110,1nterest,interest
111,1n,in
